lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.9,9.1,0.5353,0.805,0.6018,0.7969,1.1572,0.8894,1.2283,1.7698,1.3802
47.9,9.2,0.5264,0.7853,0.5892,0.7968,1.1214,0.8732,1.2183,1.7151,1.3584
47.9,9.3,0.5047,0.7578,0.5641,0.7689,1.0866,0.8393,1.185,1.662,1.3114
47.9,9.4,0.4823,0.7057,0.5304,0.716,1.0213,0.7936,1.1211,1.5939,1.2495
47.9,9.5,0.4395,0.6496,0.4877,0.6652,0.9525,0.7348,1.033,1.492,1.1683
47.9,9.6,0.391,0.5794,0.4372,0.5946,0.8559,0.6608,0.9409,1.3718,1.0623
47.9,9.7,0.3441,0.5048,0.3889,0.5282,0.7689,0.5834,0.8264,1.2239,0.9406
47.9,9.8,0.3137,0.4519,0.3482,0.4586,0.6893,0.5171,0.7455,1.0691,0.8237
47.9,9.9,0.281,0.42,0.3181,0.4111,0.6172,0.4656,0.6571,0.9719,0.7377
47.9,10,0.268,0.3938,0.296,0.3828,0.565,0.4285,0.594,0.9023,0.6763
47.9,10.1,0.2516,0.3802,0.2799,0.3591,0.5463,0.4039,0.5526,0.8536,0.6347
47.9,10.2,0.2386,0.3708,0.2693,0.3395,0.5283,0.3883,0.5335,0.8205,0.6095
